changed_files	id	span	title
2	127065811	0 days 01:02:24.000000000	Add recipe for gmap 2015.12.31.
5	127030700	0 days 04:37:01.000000000	clean blacklist 4
3	127021853	1 days 02:11:17.000000000	Add InDelFixer v1.1
0	126999037	0 days 01:04:12.000000000	new recipe for CRISPResso 1.0.6
0	126915849	0 days 00:18:17.000000000	update csvtk to v0.9.0
2	126876986	0 days 09:18:55.000000000	Add MrBayes
1	126859159	0 days 00:51:55.000000000	add kernsmooth dep to dupradar
4	126840703	0 days 20:35:08.000000000	clean blacklist 3
121	126817478	12 days 05:19:47.000000000	RNFtools 0.3.1.1
2	126802596	1 days 05:44:00.000000000	Added new recipe for cmv
0	126787648	0 days 00:42:13.000000000	update seqkit to v0.6.0
5	126774838	0 days 03:59:48.000000000	clean blacklist 2
0	126737186	0 days 00:57:53.000000000	:wqepic 0.1.25
1	126682115	0 days 03:05:35.000000000	Snakemake 3.13.2
9	126667760	0 days 10:56:15.000000000	RNFtools 0.3.1.0
3	126607562	0 days 15:36:27.000000000	IQTree: new version
1	126575990	0 days 03:37:37.000000000	This forces a lower version of gsl for eigensoft
2	126551121	0 days 16:50:00.000000000	Update of the Blast-legacy/2.2.22 recipe
1	126545682	0 days 16:52:12.000000000	Bump IgDiscover to 0.8.0
2	126531595	0 days 08:31:53.000000000	Remove py2neo recipe
3	126485834	0 days 01:11:36.000000000	Bioconductor risa
1	126481172	0 days 00:22:53.000000000	Bioconductor biocviews - fix versions of some dependencies
0	126471805	16 days 05:07:43.000000000	Tadarida d for Galaxy
2	126454253	0 days 00:44:05.000000000	Add recipe for Bioconductor biocViews.
3	126411002	0 days 05:47:53.000000000	Add recipe for Julia 0.5.2, change to source build.
3	126396518	3 days 18:01:53.000000000	bump fwdpy11 to 0.1.2
6	126373151	0 days 02:04:58.000000000	Bioconductor dexseq OS X
2	126361942	1 days 03:03:54.000000000	JSON Collect Data Source
6	126358165	1 days 05:59:58.000000000	clean blacklist
2	126353455	0 days 11:02:18.000000000	Bump PlantTribes AssemblyPostProcessor to version 1.0.1
2	126303961	0 days 14:48:30.000000000	test passed locally
1	126291788	4 days 01:16:15.000000000	Bump cutadapt to 1.14
2	126194914	2 days 21:59:00.000000000	bump pyfaidx
3	126182942	0 days 15:58:41.000000000	Update: cwl2wdl, bcbio-nextgen, bcbio-vm
4	126161695	0 days 22:46:31.000000000	Updates to raxml
1	126145476	0 days 00:15:50.000000000	Bump nanoraw to 0.4.2
2	126080992	0 days 00:40:53.000000000	Schemabump
1	126075697	0 days 01:04:18.000000000	Add r-statmod for OS X.
3	125997127	0 days 02:42:11.000000000	Update: umis, wham
1	125896441	1 days 12:17:16.000000000	rebuild with longer path length
503	125881847	0 days 01:49:17.000000000	R rebuild against R 3.3.2
1	125880013	0 days 00:45:05.000000000	build with longer prefix
0	125824835	0 days 01:16:25.000000000	homer fix permission
0	125811702	0 days 00:19:39.000000000	Fixing homer for linux
5	125782533	0 days 03:08:44.000000000	DNAnexus tools; Update: dxua, Add: dxpy, fusepy
1	125770190	0 days 01:17:00.000000000	r-histonehmm cleanup
1	125762649	0 days 03:04:05.000000000	add new test
0	125702434	0 days 11:29:11.000000000	Fixing homer package
1	125698341	0 days 01:09:49.000000000	trigger rebuild, potential zlib error
0	125558071	0 days 01:20:00.000000000	update homer recipes to v4.9.1
2	125335999	6 days 04:01:13.000000000	Update HISAT2 to 2.1.0
2	125322782	23 days 05:23:46.000000000	MinVar
1	125313570	0 days 00:28:27.000000000	fgbio: update to latest devel with duplex support
4	125281307	1 days 15:03:31.000000000	New jbrowse and python-tripal versions
10	125273575	10 days 23:02:43.000000000	Add ARB
1	125207310	10 days 18:54:57.000000000	Bug fix of 0.5.6
2	125141293	0 days 00:14:47.000000000	new bioconductor-profia
1	125091134	0 days 00:17:12.000000000	fluff version bump
1	125087262	0 days 00:23:59.000000000	Snakemake 3.13.0
2	125085039	0 days 00:59:16.000000000	new r-maxlik
0	125037967	0 days 01:01:44.000000000	add back gdsctools in the valid recipes
0	125037521	0 days 00:05:29.000000000	update gdsctools to 0.19.0 and py36
0	125025877	0 days 02:00:29.000000000	update sequane version to 0.3.0
4	125023297	0 days 14:07:19.000000000	perl-hpc-runner-command 3.2.5
3	125009710	0 days 00:09:24.000000000	Fix fastq screen
3	125003321	0 days 00:34:57.000000000	New python-tripal version
1	124993284	0 days 00:09:48.000000000	MethylDackel -> 0.3.0
1	124803105	0 days 00:10:24.000000000	Create meta.yaml
1	124789172	1 days 16:41:45.000000000	bump minialign to 0.5.3
2	124788943	1 days 16:46:56.000000000	Bump version for busco
2	124784316	0 days 00:08:47.000000000	added recipe for transrate-tools
1	124745254	2 days 12:20:09.000000000	update ruby with more pinning
1	124738784	0 days 01:23:33.000000000	Update pysam recipe to 0.11.2.2
4	124736001	0 days 17:56:48.000000000	Profia deps part1
6	124706782	0 days 06:55:41.000000000	Update shell wrappers: gatk-framework, picard, snpeff
3	124702307	0 days 03:53:02.000000000	 added crisper_recognition_tool
1	124700913	0 days 04:01:20.000000000	Update Segway to 2.0
2	124636416	0 days 00:42:01.000000000	add singularity
2	124610320	0 days 00:22:48.000000000	perl-hpc-runner-command 3.2.4
1	124606939	0 days 00:25:29.000000000	Fluff version 2.1.1
1	124527611	0 days 15:12:15.000000000	Update genomedata to 1.3.6
1	124449614	58 days 00:04:10.000000000	MIRA 4.0.2 is GPLv2+ and also available on Mac OS X
2	124408776	0 days 01:20:44.000000000	Deprecate PhylogenomicsAnalysis recipe
2	124407690	1 days 00:39:36.000000000	Add recipe for KaKsAnalysis version 1.0.0
2	124406573	1 days 00:45:59.000000000	Add recipe for GeneFamilyPhylogenyBuilder version 1.0.0
2	124405789	1 days 00:51:18.000000000	Add recipe for GeneFamilyIntegrator version 1.0.0
2	124405417	0 days 00:31:49.000000000	Add package bctools
6	124404763	1 days 00:53:37.000000000	Add recipe for GeneFamilyClassifier version 1.0.0
2	124403288	1 days 01:02:36.000000000	Add recipe for GeneFamilyAligner version 1.0.0
194	124398731	0 days 00:20:25.000000000	Remove recipes that are as in conda-forge and defaults in the same version and build.
2	124375403	0 days 01:53:19.000000000	Update: GATK4 with new gatk-launch script
1	124301931	0 days 09:28:51.000000000	Bump lace to 0.99
2	124297331	0 days 08:24:17.000000000	ad transtermhp
9	124265611	0 days 17:30:41.000000000	Add recipe for AssemblyPostProcessor version 1.0.0
3	124237444	1 days 02:56:25.000000000	Fixes for unicycler
2	124224398	0 days 03:13:52.000000000	Preserve the original JAR filename: clinod-1.3.jar
1	124223430	0 days 03:17:18.000000000	update gops
4	124157344	0 days 06:20:08.000000000	Update SnpEff and SnpSift to v4.3p. Re-add scripts/ and snpEff.config to snpsift
1	124037626	0 days 01:49:50.000000000	Update bioconductor skeleton again
1	124010854	0 days 00:57:05.000000000	update bioconductor_skeleton to auto-find data packages
1	124003371	0 days 05:55:39.000000000	Update graphicsmagick
2	123977611	0 days 00:20:38.000000000	Update SnpEff and SnpSift to 4.3o
1	123952197	0 days 02:15:06.000000000	Bump wub and remove skipping
118	123838601	0 days 01:25:00.000000000	Finished Python 3.6 migration
0	123799463	0 days 13:16:22.000000000	Initial addition of ngshmmalign
1	123779630	4 days 00:55:14.000000000	add pvacseq
2	123742041	0 days 01:12:19.000000000	Glimmer hmm
2	123738431	1 days 00:02:00.000000000	Add genologics recipe
0	123720704	1 days 00:24:12.000000000	Import smallgenomeutilities 0.1
0	123716120	0 days 03:55:19.000000000	VEP: added spliceregion plugin, prevent automated update, bumped buil…
1	123681488	0 days 00:49:31.000000000	CNVkit: update with support for latest pysam
2	123604393	0 days 00:20:04.000000000	Fix pcre issue for gnu-wget
3	123592614	0 days 01:27:25.000000000	update fwdpy11 recipe for 0.1.1
1	123591708	0 days 01:10:15.000000000	Bump roary to 3.8.2
1	123584169	0 days 00:39:13.000000000	Bump phylotoast
2	123573681	0 days 00:37:57.000000000	ADD: r-pack
0	123457191	0 days 01:59:35.000000000	Bump ShoRAH to version 1.1.0
2	123423846	0 days 02:23:56.000000000	Update openslide/meta.yaml v2
1	123353595	0 days 01:01:48.000000000	update pybedtools to v0.7.10
0	123294842	0 days 21:43:05.000000000	Add Tadarida-d for Galaxy
2	123281279	0 days 00:26:53.000000000	Add IWTomics recipe
1	123208561	0 days 05:36:55.000000000	Update EBISearch
1	123078044	0 days 17:17:57.000000000	Update maSigPro to 1.49.3
2	123041714	0 days 09:32:41.000000000	Enhance the EMMIX recipe to handle ks data points up to 100000
3	123005491	0 days 02:54:05.000000000	Update: CNVkit, ipython-cluster-helper, VariantBam
0	122995861	0 days 00:50:29.000000000	control-FREEC, bumped version
2	122953567	0 days 00:33:18.000000000	Add TwoPaCo
2	122872600	0 days 00:19:46.000000000	hpcrunner-commadn 3.2.2
1	122792053	0 days 01:19:24.000000000	GITHUB_TOKEN: unbound variable
2	122790133	0 days 15:49:51.000000000	Add recipe for EBISearch
2	122790088	0 days 15:50:52.000000000	Add recipe for ENASearch
5	122789018	0 days 10:06:35.000000000	Update: gatk4, gatk-framework, bcbio-vm
4	122788472	2 days 00:28:04.000000000	Kat 2.3.4
0	122763484	1 days 10:49:03.000000000	update csvtk to v0.8.0
3	122708496	0 days 00:22:46.000000000	update migmap to 1.0.2
2	122707637	0 days 02:26:33.000000000	Enable linting comments when GITHUB_TOKEN is set.
1	122703086	0 days 00:34:00.000000000	update astalavista to 4.0
1	122696011	0 days 00:38:00.000000000	update jamm to 1.0.7.5
1	122689535	0 days 00:27:59.000000000	update circos to 0.69.5
2	122683702	0 days 00:32:34.000000000	add parallel-fastq-dump
1	122681587	0 days 00:12:31.000000000	Update igvtools
2	122680161	0 days 01:40:11.000000000	update protrac to 2.3.1
1	122671740	0 days 00:36:53.000000000	update bismark to 0.18.1
5	122605416	0 days 02:02:07.000000000	New: gatk4 wrapper, Update: gatk-framework
2	122584215	0 days 00:50:07.000000000	Feature/perl hpc runner command
2	122577284	0 days 00:41:40.000000000	Feature/perl hpc runner command
0	122562763	3 days 04:29:29.000000000	Ribocode
1	122521332	0 days 00:18:42.000000000	update star-fusion to 1.0.0
2	122514570	26 days 23:15:36.000000000	add r-rematch
0	122508844	12 days 17:42:59.000000000	Update Segway
1	122507783	0 days 00:59:34.000000000	build set-intervaltree on osx
3	122492590	1 days 00:14:48.000000000	lsc
1	122474504	5 days 04:18:52.000000000	Handle case of a new branch with a single commit on forks.
3	122445326	0 days 00:07:30.000000000	remove viral-ngs recipe
1	122428918	1 days 06:01:02.000000000	Update to dDocent v2.2.19
1	122408097	0 days 01:31:00.000000000	Bump khmer to 2.1
5	122408004	0 days 12:30:58.000000000	Update: Toil, bcbio (+vm), VEP
1	122373929	0 days 06:09:25.000000000	Cooler recipe
2	122356105	1 days 10:31:46.000000000	Bam readcount
1	122351004	0 days 11:58:52.000000000	Fix runtime requirements for khmer
2	122301339	0 days 09:04:51.000000000	gap2seq - remove extraneous reference to LD_LIBRARY_PATH
1	122301156	4 days 13:07:15.000000000	MultiQC for py3
1	122275756	2 days 01:26:43.000000000	bump minialign to 0.5.2
4	122275457	0 days 03:39:15.000000000	Update gmap to 2017.05.08, add OS X build.
2	122266887	3 days 17:17:58.000000000	ADD: Bioconductor gsva
2	122265034	0 days 04:00:40.000000000	ADD: bioconductor-dopplegangr
2	122242022	0 days 05:53:07.000000000	update lumpy to 0.2.13
2	122219229	1 days 20:04:00.000000000	Nhmmfdr
1	122212228	0 days 03:34:05.000000000	MultiQC
2	122209774	1 days 20:26:20.000000000	locfdr from cran
2	122209716	1 days 20:25:38.000000000	Factominer
2	122209679	1 days 20:23:11.000000000	Biganalytics
2	122197397	5 days 03:49:00.000000000	Update for Genepop 4.6, works on Mac
44	122160152	5 days 05:16:21.000000000	Feature/perl file temp
3	122147859	0 days 00:18:16.000000000	gap2seq: re-enabled multi-threading on osx; cleaned up recipe
1	122071382	4 days 14:36:24.000000000	sistr-cmd v1.0.2
3	122064076	0 days 03:53:37.000000000	Update: ensembl-vep, perl-bio-db-hts with htslib
2	122052407	2 days 00:54:45.000000000	Adds pplacer binaries
4	122051544	8 days 04:22:50.000000000	Package Effective T3 v1.0.1 for BioConda
1	122032087	0 days 00:49:30.000000000	Bump build number
1	122020150	0 days 00:41:43.000000000	Fix rtracklayer
2	121989956	0 days 20:07:38.000000000	update gat recipe
0	121966863	0 days 00:24:41.000000000	pinned htslib requirement, updated plugin version
2	121954151	7 days 23:32:39.000000000	Update gdk-pixbuf/meta.yaml
2	121950457	8 days 04:09:10.000000000	Update openslide/meta.yaml
2	121945107	5 days 00:46:02.000000000	Cager
1	121929130	0 days 00:19:21.000000000	bumped vep subversion
11	121848415	0 days 11:16:28.000000000	Update genomicfeatures
1	121794156	1 days 05:39:57.000000000	VirMet
2	121785232	10 days 01:30:27.000000000	Stuttgart Neural Network Simulator (SNNS)
3	121759527	11 days 05:23:14.000000000	clinod recipe, using batchman from SNNS
8	121749549	44 days 08:43:37.000000000	Fixed vcftools dependencies
1	121693077	0 days 00:07:53.000000000	strip-it: modified package source
2	121679376	0 days 07:39:35.000000000	Graphicsmagick build with shared libs
6	121677500	0 days 08:42:23.000000000	Fixed a bunch of things that Simon broke
1	121676107	0 days 00:28:36.000000000	Update stringMLST to 0.4.1
3	121672141	0 days 11:37:38.000000000	WIP: added nplikeness
1	121668937	0 days 03:16:29.000000000	bump shape-it version
1	121667163	0 days 04:11:23.000000000	update align-it
2	121666653	0 days 01:08:59.000000000	Saffrontree
1	121665237	0 days 00:18:45.000000000	update osra
2	121663781	0 days 02:33:05.000000000	Add Plasmidtron
2	121660988	38 days 03:22:35.000000000	Add netReg to Bioconda
1	121658032	0 days 03:58:03.000000000	update openbabel version
1	121657739	0 days 00:45:58.000000000	Roary
3	121648592	2 days 17:18:27.000000000	gap2seq: enabled osx build
9	121634188	1 days 20:07:32.000000000	You know you want genomes, yes, you do
2	121624821	0 days 00:27:31.000000000	add spectral_hk
1	121624195	0 days 00:30:04.000000000	openjdk update
4	121617647	0 days 00:19:33.000000000	Update: rabix bunny and sentieon
1	121610742	0 days 01:58:10.000000000	Update stringMLST to  v0.4
1	121597636	0 days 01:09:28.000000000	rebuild hisat
1	121597060	0 days 10:13:24.000000000	update planemo
0	121487669	0 days 10:47:27.000000000	Bump MAFFT to 7.310
0	121487542	7 days 03:44:23.000000000	Update quast to version 4.5
9	121473244	4 days 10:41:45.000000000	udocker 1.0.3 and dependencies
1	121350944	0 days 00:58:39.000000000	update macs
1	121324941	0 days 02:19:01.000000000	Update to version 1.1.5
0	121261580	0 days 00:28:53.000000000	Ngmlr024
1	121237086	0 days 01:44:54.000000000	Add whoosh dependency (used in galaxy/tools/deps/mulled/mulled_search…
1	121211007	6 days 02:14:57.000000000	Bump sourmash
1	121205903	0 days 01:30:58.000000000	Bump dendropy to 4.2
1	121134573	0 days 02:24:08.000000000	Update MAGeCK to newer version
2	121116233	0 days 00:25:53.000000000	Add R utils script to eqtlbma.
2	121073578	0 days 07:19:14.000000000	Recipe for NLStradamus v1.8
1	121046634	0 days 00:43:51.000000000	Rebuild for larger placeholder
2	121038665	0 days 01:47:39.000000000	Bump khmer
2	121008273	0 days 00:31:31.000000000	Bump screed to 1.0
1	121006010	1 days 10:41:25.000000000	Msstitch release v2.4 
3	120919548	0 days 01:25:05.000000000	Pymummer 0.10.2
1	120906687	0 days 00:58:26.000000000	rebuild for larger placeholder
1	120894139	0 days 01:38:04.000000000	new 17.5.9 release of galaxy-lib
1	120875327	0 days 00:41:38.000000000	bump graphclust
3	120869520	0 days 00:54:51.000000000	update fastq_screen
1	120863492	7 days 18:38:46.000000000	uploaded secapr illumina processing pipeline
1	120858615	0 days 06:44:54.000000000	Remove .patch extension from gitignore.
1	120852232	0 days 00:19:26.000000000	Update AhoCorasickTrie recipe and try building on OS X again with LLVM
1	120841783	0 days 00:41:46.000000000	Build r-checkmate separately.
2	120838860	0 days 07:11:05.000000000	remove botocore
1	120832044	7 days 18:42:59.000000000	update cgat-scripts-nosetests to version 0.0.4
2	120789143	1 days 11:52:34.000000000	Bump version to 5.3.2
2	120713738	0 days 04:18:50.000000000	added recipe for Gap2Seq assembly gap-filling tool
2	120666858	0 days 04:11:54.000000000	trigger fastqc rebuild
2	120660223	0 days 00:56:06.000000000	Remove sed duplicated in conda-forge
2	120659362	1 days 17:55:33.000000000	r-som
2	120652651	1 days 18:31:30.000000000	r-ff
2	120646950	0 days 05:34:37.000000000	Add r-sqldf
2	120646265	1 days 18:39:53.000000000	r-biglm/
2	120644510	0 days 02:57:10.000000000	Add r-fastmatch recipe
1	120642154	0 days 01:42:49.000000000	Bump vsearch to 2.4.3
2	120640473	13 days 20:02:31.000000000	Testing to build latest graphmap
3	120639590	0 days 01:08:40.000000000	update snpeff and snpsift to 4.3m
2	120636195	3 days 02:44:39.000000000	Remove retrying because conda-forge has a better one
5	120600288	1 days 04:33:57.000000000	Upgrade and rebuild dependencies for systemPipeR and DiffBind.
5	120578516	3 days 05:05:50.000000000	added weeder2 recipe
1	120573346	9 days 01:48:04.000000000	Cgat pipelines nosetests
2	120566305	0 days 00:21:10.000000000	Update: toil, bcbio-nextgen
0	120526617	1 days 14:52:55.000000000	Recipe for v0.98.2 of w4mclassfilter
1	120502645	0 days 00:20:20.000000000	Add r for burrito
0	120502409	0 days 00:57:55.000000000	update sequana recipes (version to 0.2.1)
1	120413229	0 days 00:25:49.000000000	Bump deepTools to 2.5.1
3	120387084	2 days 21:41:18.000000000	Update pysam recipe
4	120200489	0 days 13:37:55.000000000	Update imfusion to 0.3.2.
4	120158747	20 days 23:00:21.000000000	Adds SCAN.UPC recipe.
2	120132073	0 days 23:41:42.000000000	Add RMySQL recipe
0	120121247	0 days 01:01:14.000000000	Update maSigPro to 1.49.0
2	120118632	0 days 23:33:35.000000000	Perl algorithm cluster
4	120068710	0 days 02:51:14.000000000	Fixes for openbabel 2.4.1
2	120009774	7 days 17:23:18.000000000	Pairix recipe
1	119979467	0 days 00:22:14.000000000	add getopt
3	119975061	0 days 23:55:48.000000000	Add histoneHMM (R package)
3	119958599	0 days 01:05:56.000000000	Fixed recipe for NanoSim-H
4	119939943	1 days 18:32:03.000000000	RNAshapes 3.3.0
2	119931569	6 days 18:58:42.000000000	Bump PASTA to version 1.7.8
3	119927639	0 days 01:14:51.000000000	Update r-spp to 1.14, remove from blacklist.
0	119869241	0 days 00:16:54.000000000	update seqkit to v0.5.5
3	119823998	14 days 06:17:59.000000000	Biopet add r dependencies for reports
1	119764785	0 days 00:26:25.000000000	Update picard
1	119761813	0 days 00:15:18.000000000	Snakemake 3.12.0.
2	119702751	0 days 02:33:28.000000000	ADD:cran-checkpoint
2	119700373	0 days 00:44:23.000000000	Add recipe for eQtlBma 1.3.1.
1	119688339	0 days 00:25:00.000000000	Fix version number
4	119674129	1 days 23:36:39.000000000	rDock fixes
1	119631536	0 days 07:53:59.000000000	Make link to contributing guidelines explicit
5	119630570	0 days 04:37:47.000000000	Recipes for GhostScript 9.07 and 9.10
2	119618684	0 days 04:57:45.000000000	Shapeit
2	119612703	0 days 10:02:53.000000000	Affxparser
2	119513613	0 days 00:13:39.000000000	kmc - fetch kmc_tools if cannot compile it
2	119500157	0 days 00:00:23.000000000	kmc: Fetch kmc_tools binary from developers' website if cannot compile from source
1	119488228	0 days 01:28:06.000000000	updated bowtie2 to 2.3.2
3	119486311	0 days 00:27:00.000000000	Add mashtree
1	119480827	0 days 00:36:53.000000000	Bumping Jannovar to v0.22
3	119445408	0 days 05:09:20.000000000	Update samtools/htslib to 1.4.1.
1	119436323	1 days 06:41:34.000000000	Virmet
0	119349413	0 days 21:39:43.000000000	Recipe for v0.98.1 of w4mclassfilter
1	119333759	0 days 00:32:10.000000000	fix name
2	119332855	0 days 00:35:31.000000000	Update: bcbio, bcbio-vm
1	119312449	0 days 00:23:35.000000000	Enable Python 3.6 in the env matrix
2	119309549	0 days 01:41:38.000000000	fix zlib
10	119308225	0 days 14:06:14.000000000	add new r-packages
5	119293729	0 days 00:17:00.000000000	Update: goleft, vcfanno, bunny, synapseclient
2	119292608	0 days 00:10:45.000000000	add hsmmsinglecell
2	119212189	1 days 15:54:14.000000000	Monocle recipe 
2	119192215	0 days 00:19:30.000000000	adds new version
1	119179603	0 days 00:30:28.000000000	Bump sniffles and build for osx
3	119167903	0 days 00:59:42.000000000	Update CrossMap to 0.2.5.
4	119130308	0 days 05:19:55.000000000	Updates r-rubic package to 1.0.3.
1	119103685	0 days 00:43:39.000000000	Increment snakemake build number to debug missing py36
1	119077547	0 days 07:48:21.000000000	Update ProPhyle version
0	119071352	0 days 00:23:49.000000000	w4mclassfilter - renamed recipe to match package name
1	119057289	0 days 01:58:18.000000000	update parallel
4	119036128	0 days 01:16:04.000000000	Update fsnviz to 0.2.0
2	119021203	0 days 01:46:27.000000000	remove awscli
1	119019921	0 days 04:17:36.000000000	Bump IgDiscover to 0.7.0
1	119018379	10 days 22:32:01.000000000	change snpeff version to fix conda version sorting
4	119006360	0 days 00:56:01.000000000	Obitools 1.2.11
1	119002020	0 days 01:15:01.000000000	update gfapy recipe to new version
2	118989804	0 days 02:07:27.000000000	Work-around for Neptune related to issues #394 and #448.
2	118951448	4 days 23:29:37.000000000	adding pir extract
1	118944208	0 days 02:12:00.000000000	Bump busco to 2.0.1
1	118932678	0 days 00:59:54.000000000	Bump smartdenovo build
1	118909447	0 days 00:07:39.000000000	skewer: updated recipe for BioContainers.
13	118906657	0 days 00:02:12.000000000	Python 3.6
12	118820198	0 days 03:00:42.000000000	More genome annotations
2	118818832	0 days 12:31:02.000000000	ADD: bioconductor-curatedovariandata recipe
0	118802315	0 days 04:20:23.000000000	New recipe galaxy-w4m-r-classfilter
1	118780254	0 days 00:27:56.000000000	Intarna 2.0.3
1	118770837	0 days 01:07:45.000000000	Add some common exclusions to the .gitignore
4	118770545	0 days 00:56:45.000000000	BioConda recipes for Biopython 1.65 and 1.66
1	118764898	0 days 01:35:14.000000000	VirMet
3	118742040	0 days 06:07:10.000000000	Bulk update support
4	118711383	0 days 02:34:40.000000000	Pin to latest Python 3.5 version of Miniconda.
2	118708197	0 days 23:04:06.000000000	Fix build for stringmlst 0.3.7
9	118705701	0 days 03:13:22.000000000	Biopet
0	118675737	0 days 00:11:10.000000000	Update taxonkit
1	118641201	0 days 04:27:53.000000000	Update VariantAnnotation to BioConductor 3.4
1	118630830	0 days 22:06:03.000000000	Update annotationdbi version from 1.36.2 to 1.38.0. [WIP]
1	118630432	0 days 01:09:57.000000000	Neptune 1.2.5
1	118629328	0 days 00:16:50.000000000	Update Atropos to version 1.1.4
2	118626195	0 days 00:34:23.000000000	Update pybel to 0.5.4
2	118575902	0 days 00:23:43.000000000	Fix typo in MultiGPS wrapper script.
2	118526901	0 days 09:24:19.000000000	Gmap zlib
2	118489427	0 days 03:02:06.000000000	Use zlib for gmap & update tests
1	118459693	0 days 16:11:24.000000000	update manta version to 1.1.0
4	118383271	0 days 02:23:40.000000000	rebuilding ad and adding params validate
1	118368061	0 days 04:44:39.000000000	Bump Picopore to v1.1.4
4	118358294	1 days 11:13:04.000000000	Added recipe for HTseq 0.7.2.
4	118350341	0 days 01:20:32.000000000	adding in new perl-hpc-runner-command* recipes
0	118315121	0 days 17:36:23.000000000	Update taxonkit to v0.2.0
2	118306477	0 days 00:26:59.000000000	Update: bcbio and bcbio-vm
3	118297893	0 days 00:56:42.000000000	Add MINTmap tool
1	118280421	1 days 16:23:21.000000000	Update subread
2	118280133	5 days 21:43:56.000000000	Adds recipe for imfusion python package.
0	118240279	2 days 21:07:33.000000000	add sequana recipes
0	118236070	0 days 00:08:04.000000000	add gdstools recipes
0	118226002	0 days 00:07:43.000000000	Remove recipes that is now maintained on conda-forge
0	118192318	0 days 02:21:26.000000000	add new recipe: shustring
1	118189515	0 days 00:31:48.000000000	Updates dada2
0	118112439	0 days 10:59:26.000000000	"Remove recipe r-robustbase due to ""in_other_channels"""
0	118103564	0 days 00:12:55.000000000	Rebuild r-robustbase to build with conda 2.0
1	118099896	0 days 01:03:36.000000000	FlaiMapper: pin pysam version to 0.11
1	118086469	0 days 00:10:18.000000000	Update biobambam
1	118039856	0 days 00:20:56.000000000	updates bioconductor-dada2
1	118036326	0 days 04:15:02.000000000	Rebuild circexplorer, update required dependency
2	118023503	0 days 00:31:57.000000000	Cooler recipe
2	117973923	0 days 19:22:03.000000000	add gfapy 1.0.0rc9 recipe
6	117963066	0 days 00:18:56.000000000	Kaiju 1.4.5 -> 1.5.0
3	117960984	0 days 00:28:24.000000000	bbmap 37.10 -> 37.17
2	117942919	0 days 07:05:35.000000000	Fix deprecated Perl syntax in ESTScan and fix dependencies and tests
1	117939875	0 days 00:45:32.000000000	Replace perl-threaded with perl and use better test for perl-btlib
0	117933747	0 days 02:22:34.000000000	stringMLST
2	117864472	31 days 04:27:32.000000000	cmapPy
0	117838438	0 days 13:37:16.000000000	update taxonkit to v0.1.8
1	117708900	1 days 01:22:31.000000000	updated to proBAMconvert version 1.0.1
1	117672519	0 days 05:33:32.000000000	Virmet
0	117671712	0 days 00:14:43.000000000	Remove libxml2 recipe, which is present in default and conda-forge
2	117669866	0 days 00:18:19.000000000	Update: svtyper, bcbio-nextgen
3	117650297	0 days 06:40:51.000000000	update dr-disco to 0.6.0
3	117648863	0 days 01:32:31.000000000	upgrade flaimapper to v2.4.0
0	117647076	0 days 00:28:33.000000000	Rebuild r-mclust to build with conda-build > 2.0...
1	117566920	1 days 20:24:43.000000000	Bug Fix
1	117557683	0 days 00:43:03.000000000	Bump circlator to 1.5.1
2	117554907	0 days 00:25:15.000000000	Add berokka
1	117515035	0 days 00:17:02.000000000	Delly v0.7.7
3	117492327	0 days 05:01:27.000000000	Virmet
2	117465759	0 days 03:15:28.000000000	Add gmap_2014.12.23 recipe
1	117358041	6 days 21:45:24.000000000	Update ProPhyle version
3	117321765	0 days 00:11:40.000000000	Delly v0.7.7
1	117312716	0 days 14:45:02.000000000	update cgat-scripts-devel
1	117295510	0 days 00:28:44.000000000	remove username from guidescan git url
1	117287905	0 days 00:16:13.000000000	add openblas as guidescan dependency
2	117246399	1 days 07:28:06.000000000	adding in pymvpa
1	117209844	0 days 01:12:25.000000000	InteMAP: add missing run dependencies
1	117207679	0 days 00:34:00.000000000	Ensembl VEP v88.8
2	117174725	0 days 17:37:47.000000000	Add recipe for TargQC
1	117166036	0 days 00:24:21.000000000	Update pysam
1	117153723	0 days 01:12:58.000000000	rebuild
2	117137535	0 days 00:13:40.000000000	Build also divsufsort64
0	117134819	0 days 00:19:25.000000000	Bug Fix
2	117113420	0 days 14:57:54.000000000	Reveal update
7	117104105	0 days 00:34:56.000000000	Update: cwltool, Toil, Arvdos, bcbio
2	117099730	0 days 06:27:40.000000000	Added recipe: xxmotif-1.6
2	117081949	0 days 00:42:44.000000000	add recipe for guidescan
2	117068252	0 days 00:12:03.000000000	add rename
1	117046763	0 days 01:57:54.000000000	Delly v0.7.7
1	117014970	0 days 02:27:47.000000000	Update to version 1.1.2
1	116987437	0 days 01:10:06.000000000	"Fix --git-range to ""master HEAD"" in simulate-travis.py"
2	116982308	0 days 01:18:26.000000000	Cgat scripts
5	116971872	9 days 23:16:41.000000000	Add control-freec 10.5.
2	116953634	0 days 03:46:21.000000000	Updated dinopy to 2.0.0, removed old clutter from meta.yaml.
1	116931500	0 days 00:15:22.000000000	Bump canu to 1.5
2	116924904	0 days 02:08:14.000000000	Bump some r package
1	116924146	0 days 00:38:03.000000000	Small fixes to canu
2	116920483	0 days 11:40:49.000000000	Update zifa
5	116875258	0 days 09:37:49.000000000	peptide-shaker v1.16.4 release 2017/04/01
5	116874128	0 days 09:44:58.000000000	searchgui v3.2.13 2017/04/03 release
3	116832924	0 days 00:21:09.000000000	Stacks: fix runtime errors
